,name,url
1,Urban,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/warzone_maps_array08-b2c5175d0e8446c29e4fc6888492e5ff.jpg
2,Raid on Apex 7,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/apex-04a7ffdd6aca4e48bc159ae754ca6585.jpg
3,March on Stormbreak,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/stormbreak-cbacd64e24bb432db9cf30ac66602284.jpg
4,Escape from A.R.C.,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/arc-f3f60a132fa746899ce9c2d340152ddb.jpg
5,Osiris,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array01-9c1ff3f00e364bfaa0e059a90fa37d92.jpg
6,Blue Team,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array02-b6e6f433fbbf4011856722afba3cba67.jpg
7,Glassed,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array03-56e025da746b4a7cb0662d3412fbcb1f.jpg
8,Unconfirmed,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array05-4fda17114e954fc293dbc788a3771917.jpg
9,Alliance,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array09-a9daf8297db04798b071c7061b12b4b8.jpg
10,Before the Storm,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array11-f715334a2a68435fba6dc7467f561c50.jpg
11,Genesis,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array13-c60a8c104a4e4f409c8d275a570730a4.jpg
12,The Breaking,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array14-722fa773f6b24e8e87e8a9b1fba3576a.jpg
13,Guardians,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array15-6454e53d0a3942ecad2ed3360b1aad2a.jpg
14,Meridian Station,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array04-95bc925644684fd482ef9fe39e97a9c5.jpg
15,Evacuation,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array06-12c6b7520666460c84a08d0194dd372f.jpg
16,Reunion,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array07-6bfe2c86d66c440a84e9a18f03e4af2d.jpg
17,Sword of Sanghelios,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array08-43a85271d864411888053d83bade924a.jpg
18,Enemy Lines,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array10-99aa976dbea943c3b8256cc698443be7.jpg
19,Battle of Sunaion,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/campaign/campaign_missions_array12-901b0025b17b4667ae8038239e692584.jpg
20,Summit,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/highlands-e3f65b315d5547ee97699b7e220f51c5.jpg
21,Array,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/warzone_maps_array09-668eb7f9d87c40be88f07400cc4bea65.jpg
22,Dispatch,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/dispatch-1ffec9cf5f754aa685f7a0c78824e70f.jpg
23,Alpine,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/arena_maps_array01-255ee5e1de7f4a48ae47077f24b216ff.jpg
24,Breakout Arena,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/arena_maps_array09-2f2c3a5157f0441791a4824d1857d79d.jpg
25,Coliseum,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/coliseum-abe90d6fbc2247fe8e31bb0545bfebd4.jpg
26,Eden,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/eden-7fd2ba70e3cc4b62af990ba4f072e770.jpg
27,Empire,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/empire-34bb3fecab0e4962844d1fdd436d0bcf.jpg
28,Fathom,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/fathom-b30e83d8c85d43749a9fc2a45811d3cb.jpg
29,Plaza,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/plaza-f08327b5d1de449f89ec17050ce0cb9f.jpg
30,Regret,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/regret-24950f92c443457798f3a227bd1476d8.jpg
31,The Rig,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/therig-caa9d7b003a44994ad20388466940abd.jpg
32,Truth,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/truth-adc7ab939f124948834f5a4056b7cf90.jpg
33,Glacier,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/glacier-da49293bfc9a4e978b1400e35be2d71b.jpg
34,Parallax,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/space-a7862c5d6b7040f190da850757df4b40.jpg
35,Battle of Noctus,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/urban-6932d5ab080745a2ada2e505b7bce53e.jpg
36,Overgrowth,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/courtyard-remix-7276d07c328f49fe84032ee8fc22fd30.jpg
37,Riptide,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/arena_maps_array13-519b61e8a2d94946a2b9ce422857c007.jpg
38,Torque,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/arena-pistons-torque-bc1f890581574709aba1681af8dc5710.jpg
39,Skirmish at Darkstar,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/warzone/warzone_maps_array10-362d94062cff45f1a51cb13abbd8a363.jpg
40,Tyrant,https://content.halocdn.com/media/Default/games/halo-5-guardians/map-images/arena/arena_maps_array15-3e87527eb14d4413accb3bfe227135f5.jpg
